ID,Category,Conditions,Bodies,Makes,Models,Mileage,Fuel_Types,Engine,Years,Fuel_Consumption,Transmission,Drives,Fuel_Economy,Exterior_Colors,Interior_Color,CIF_USD,Price_USD,Price_GHS,Seats,Dimensions_mm,Trim_Edition,Range_km,Power,Source,specs_json,_sourceFile,_sourceType
IZZY-CHANGAN--QIYUAN--HUNTER-K50-LONG-CARGO-4WD-SMART-PREMIUM-2026,Heavy,Brand new,Pickup truck,Changan (Qiyuan),Hunter K50 Long cargo 4WD Smart Premium,,Range extender,2.0T range extender + dual-motor 4WD,2026,,Automatic,4WD,,,Gray / White / Black,24800,25800,399900,5,,,181,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-CHANGAN--QIYUAN--HUNTER-K50-LONG-CARGO-4WD-LUXURY-2026,Heavy,Brand new,Pickup truck,Changan (Qiyuan),Hunter K50 Long cargo 4WD Luxury,,Range extender,2.0T range extender + dual-motor 4WD,2026,,Automatic,4WD,,,Gray / White / Black / Blue,23900,24900,385950,5,,,181,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-CHANGAN--QIYUAN--HUNTER-K50-STANDARD-CARGO-4WD-LUXURY-2026,Heavy,Brand new,Pickup truck,Changan (Qiyuan),Hunter K50 Standard cargo 4WD Luxury,,Range extender,2.0T range extender + dual-motor 4WD,2026,,Automatic,4WD,,,White,23700,24700,382850,5,,,181,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-FORD-F-150-RAPTOR-3-5T-2025,Heavy,Used,Pickup truck,Ford,F-150 Raptor 3.5T,"10,000 km",Gasoline,3.5T,2025,,Automatic,4WD,,,,63000,64000,992000,5,,,,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-HOWO-TIPPER-TRUCK-2025-2025,Heavy,Brand new,Dump truck,Howo,Tipper truck 2025,,Diesel,,2025,,Manual,,,,,48320,49320,764460,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-HOWO-TRUCK--STANDARD-NEW--2025,Heavy,Brand new,Truck,Howo,Truck (standard new),,Diesel,,2025,,Manual,,,,,23700,24700,382850,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-HOWO-REFRIGERATED-BOX-TRUCK-2025,Heavy,Brand new,Refrigerated box truck,HOWO,Refrigerated box truck,,Diesel,,2025,,Manual,,,,,29000,30000,465000,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-HOWO-KNUCKLE-BOOM-CRANE-TRUCK-WITH-LADDER-2025,Heavy,Brand new,Knuckle boom crane truck (6x4),HOWO,Knuckle boom crane truck with ladder,,Diesel,,2025,,Manual,6x4,,,,66520,67520,1046560,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-HOWO-CONCRETE-MIXER-2025-2025,Heavy,Brand new,Concrete mixer truck,HOWO,Concrete mixer 2025,,Diesel,,2025,,Manual,,,,,50625,51625,800188,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-JMC-DADAO-2-3T-EXPLORER-EXTREME-2024,Heavy,Used,Pickup truck,JMC,Dadao 2.3T Explorer Extreme,"20,000 km",Diesel,2.3T,2024,,Automatic,4WD,,,,29200,30200,468100,5,,,,,WhatsApp Chat,{},Group_Pickup Trucks.csv,main-features-csv
IZZY-SHACMAN-F3000-DUMP-TRUCK-2025,Heavy,Brand new,Dump truck (8x4),Shacman,F3000 Dump Truck,,Diesel,25 m3,2025,,Manual,8x4,,,,50414,51414,796917,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-SHACMAN-STYLE-BOOM-TRUCK-2025,Heavy,Brand new,Truck-mounted crane (16-ton),Shacman-style,Boom truck,,Diesel,16-ton crane,2025,,Manual,,,,,64300,65300,1012150,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-SHACMAN-HOWO-DUMP-TRUCK--CUSTOM--2025,Heavy,Brand new,Dump truck,Shacman/Howo,Dump truck (custom),,Diesel,,2025,,Manual,,,,,45500,46500,720750,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-SINOTRUK-CARGO-TRUCK-2025,Heavy,Brand new,Cargo truck,Sinotruk,Cargo truck,,Diesel,,2025,,Manual,,,,,24400,25400,393700,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-SINOTRUK-HOWO-HOWO-371-DUMP-TRUCK-2025,Heavy,Brand new,Dump truck (6x4),Sinotruk HOWO,HOWO 371 Dump Truck,,Diesel,"371hp, 16 m3",2025,,10-Speed Manual,6x4,,,,49500,50500,782750,3,,25-30 ton payload,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-SINOTRUK-HOWO-HOWO-371-TIPPER-2025,Heavy,Brand new,Dump truck (8x4 25m3),Sinotruk HOWO,HOWO 371 tipper,,Diesel,371hp,2025,,Manual,8x4,,,,49500,50500,782750,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-XCMG-TRUCK-CRANE-2025,Heavy,Brand new,Truck crane (mobile crane),XCMG,Truck crane,,Diesel,,2025,,Manual,,,,,38500,39500,612250,3,,,,,WhatsApp Chat (heavy duty),{},Group_Trucks & Cranes.csv,category-csv
IZZY-CHINESE-MAKE-400CC-TWIN-CYLINDER-WATER-COOLED-2026,Other,Brand new,Motorcycle,Chinese make,400CC twin-cylinder water-cooled,,Gasoline,400cc twin-cylinder water-cooled,2026,,,,,,,39000,40000,620000,2,,,,,WhatsApp Chat (motorcycles),{},Group_Motorcycles.csv,category-csv
IZZY-CHINESE-MAKE-250CC-SINGLE-CYLINDER-2026,Other,Brand new,Motorcycle,Chinese make,250CC single-cylinder,,Gasoline,250cc single-cylinder,2026,,,,,,,32350,33350,516925,2,,,,,WhatsApp Chat (motorcycles),{},Group_Motorcycles.csv,category-csv
IZZY-CHINESE-MAKE-500CC-MOTORCYCLES-2026,Other,Brand new,Motorcycle,Chinese make,500CC Motorcycles,,Gasoline,500cc,2026,,,,,,,56035,57035,884043,2,,,,,WhatsApp Chat (motorcycles),{},Group_Motorcycles.csv,category-csv
IZZY-CHINESE-MAKE-S9-2026,Other,Brand new,Scooter,Chinese make,S9,,Gasoline,,2026,,,,,,,16315,17315,268383,2,,,,,WhatsApp Chat (motorcycles),{},Group_Scooters.csv,category-csv
IZZY-CHINESE-MAKE-FUEL-POWERED-TRICYCLE-2026,Other,Brand new,Tricycle (2T load),Chinese make,Fuel-powered tricycle,,Gasoline,,2026,,,,,,,3,1003,15547,,,,,WhatsApp Chat (motorcycles),,{},Group_Tricycles.csv,category-csv
IZZY-DRIVETRON-DT01--36V-7-8AH--2026,Other,Brand new,Electric scooter,DriveTron,DT01 (36V 7.8Ah),,Pure electric,36V 7.8Ah,2026,,,,,,,2,1002,15531,,,,,DriveTron quotation,,{},Group_Scooters.csv,category-csv
IZZY-DRIVETRON-DT01--36V-10-4AH--2026,Other,Brand new,Electric scooter,DriveTron,DT01 (36V 10.4Ah),,Pure electric,36V 10.4Ah,2026,,,,,,,2,1002,15531,,,,,DriveTron quotation,,{},Group_Scooters.csv,category-csv
IZZY-GOLDEN-WAVE-GOLDEN-WAVE-180--180-WATER-COOLED--2026,Other,Brand new,Motorcycle,Golden Wave,Golden Wave 180 (180 water-cooled),,Gasoline,180cc water-cooled,2026,,,,,,"33,400 cedis DDP",2,1002,15531,,"Dual ABS, airbags, TFT, NFC",,,WhatsApp Chat (motorcycles),,{},Group_Motorcycles.csv,category-csv
IZZY-HONDA--IMITATION--ADV350-IMITATION-2026,Other,Brand new,Motorcycle,Honda (imitation),ADV350 imitation,,Gasoline,350cc water-cooled electric injection,2026,,,,,,,55200,56200,871100,2,,Imitation Honda ADV350,,,WhatsApp Chat (motorcycles),{},Group_Motorcycles.csv,category-csv
IZZY-HONDA-180-HONDA-180-WATER-COOLED-2026,Other,Brand new,Motorcycle,Honda 180,Honda 180 water-cooled,,Gasoline,180cc water-cooled,2026,,,,,,"29,400 cedis DDP",2,1002,15531,,"Dual ABS, airbags, TFT, NFC",,,WhatsApp Chat (motorcycles),,{},Group_Motorcycles.csv,category-csv
IZZY-PCX-STYLE-PCX-HONDA-150-WATER-COOLED-2026,Other,Brand new,Motorcycle,PCX-style,PCX Honda 150 water-cooled,,Gasoline,150cc water-cooled,2026,,,,,,"25,245 cedis DDP",2,1002,15531,,"CBS disc brakes, keyless ignition",,,WhatsApp Chat (motorcycles),,{},Group_Motorcycles.csv,category-csv
IZZY-PCX-STYLE-PCX2-HONDA-150-WATER-COOLED-2026,Other,Brand new,Motorcycle,PCX-style,PCX2 Honda 150 water-cooled,,Gasoline,150cc water-cooled,2026,,,,,,"26,400 cedis DDP",2,1002,15531,,"CBS disc brakes, keyless ignition",,,WhatsApp Chat (motorcycles),,{},Group_Motorcycles.csv,category-csv
